name,calorie,grams,image
Orange Juice,112,240,object_0_41.png
Clam Spaghetti,450,350,object_0_45.png
Orange Juice,112,240,object_0_41.png
Clam Spaghetti,450,300,object_0_45.png
Orange Juice,112,240,object_0_41.png
Orange Juice,112,240,object_0_41.png
Clam Spaghetti,450,350,object_0_45.png
Orange Juice,112,240,object_0_41.png
Seafood Pasta,400,200,object_0_45.png
Orange Juice,45,100,object_0_41.png
Chicken Broth,15,240,object_0_45.png
Chicken Broth,15,240,object_0_45.png
Ramen with Egg,600,400,object_0_45.png
Quiche,300,150,object_0_48.png
Roasted Pumpkin,80,100,object_0_48.png
Quiche,300,150,object_0_60.png
Roasted Pumpkin,80,100,object_0_60.png
"Mixed Salad (Tomato, Cucumber, Red Cabbage)",50,100,object_0_60.png
Tomato,18,100,object_0_51.png
Corn and Bamboo Shoot Soup,150,300,object_0_45.png
Sausage,300,100,object_0_45.png
Fried Chicken,250,100,object_0_45.png
Bean Sprouts,31,100,object_0_44.png
Corn Soup,150,300,object_0_60.png
Sausages,400,200,object_0_60.png
Fried Tofu,150,100,object_0_60.png
Stir-fried Bean Sprouts,100,150,object_0_60.png
Stir-fried Bean Sprouts,50,100,object_0_45.png
Green Vegetables,25,100,object_0_50.png
Corn,86,100,object_0_44.png
Corn and Bamboo Shoot Soup,150,300,object_0_45.png
Sausage,300,100,object_0_45.png
Fried Chicken,250,100,object_0_45.png
Corn Soup,150,300,object_0_60.png
Sausages and Fried Items,400,200,object_0_60.png
Stir-fried Bean Sprouts,100,150,object_0_60.png
Stir-fried Bean Sprouts,50,100,object_0_45.png
Green Vegetables,25,100,object_0_50.png
Corn,86,100,object_0_44.png
